,PositionTitle,MinimumRange,MaximumRange,PositionURI
0,Psychology Program Manager,160619.0,208808.0,https://www.usajobs.gov:443/GetJob/ViewDetails/826236000
1,Psychology Program Manager (PCMHI),145860.0,189620.0,https://www.usajobs.gov:443/GetJob/ViewDetails/827626900
2,Substance Abuse Psychology Program Manager,152398.0,198119.0,https://www.usajobs.gov:443/GetJob/ViewDetails/820596300
3,Psychology Program Manager - Workplace Violence Prevention Program,141948.0,184534.0,https://www.usajobs.gov:443/GetJob/ViewDetails/818285900
4,Psychology Program Manager (Outpatient Mental Health Program Manager),145860.0,189620.0,https://www.usajobs.gov:443/GetJob/ViewDetails/826827000
5,Psychology Program Manager - Workplace Violence Prevention Program,141948.0,184534.0,https://www.usajobs.gov:443/GetJob/ViewDetails/818286000
6,Staff Psychologist,106445.0,138382.0,https://www.usajobs.gov:443/GetJob/ViewDetails/825694600
7,Senior Psychologist Program Manager Detail NTE 1 Year,164637.0,195200.0,https://www.usajobs.gov:443/GetJob/ViewDetails/827863300
8,Staff Psychologist (Neuropsychologist)-Amended,84652.0,156853.0,https://www.usajobs.gov:443/GetJob/ViewDetails/828573300
9,Staff Psychologist (PTSD EBP) - Relocation Incentive and Education Debt Reduction Program Authorized,81888.0,151732.0,https://www.usajobs.gov:443/GetJob/ViewDetails/776783900
10,Staff Psychologist (PTSD EBP) - Recruitment Incentive & Education Debt Reduction Program Authorized,81888.0,151732.0,https://www.usajobs.gov:443/GetJob/ViewDetails/776784800
11,Staff Psychologist (Health Behavior Coordinator)-Amended,84652.0,156853.0,https://www.usajobs.gov:443/GetJob/ViewDetails/828612500
12,Clinical Psychologist,139395.0,185824.0,https://www.usajobs.gov:443/GetJob/ViewDetails/764671200
13,Staff Psychologist (Geropsychologist)-Amended,84652.0,156853.0,https://www.usajobs.gov:443/GetJob/ViewDetails/828059100
14,CLINICAL PSYCHOLOGIST,120381.0,156498.0,https://www.usajobs.gov:443/GetJob/ViewDetails/828150000
15,Staff Psychologist (BHIP - Geropsychologist) - Education Debt Reduction Program Authorized,72553.0,113047.0,https://www.usajobs.gov:443/GetJob/ViewDetails/818121400
16,Staff Psychologist (BHIP - Geropsychologist) - Education Debt Reduction Program Authorized,72553.0,134435.0,https://www.usajobs.gov:443/GetJob/ViewDetails/818121800
17,Senior Psychologist Program Manager GS-0180-15 Detail NTE One Year,164637.0,195200.0,https://www.usajobs.gov:443/GetJob/ViewDetails/829315300
18,Licensed Professional Mental Health Counselor - Behavioral Health Interdisciplinary Program (BHIP),63810.0,100361.0,https://www.usajobs.gov:443/GetJob/ViewDetails/828797600
19,Clinical Psychologist,119157.0,154906.0,https://www.usajobs.gov:443/GetJob/ViewDetails/827750100
20,Clinical Psychologist,120381.0,156498.0,https://www.usajobs.gov:443/GetJob/ViewDetails/826526000
